"Region","Purpose","Height","Length","Volume","Year_Completed","Surface","Inspection_Freq","Distance_to_City","Hazard","Assessment","Prob_Fail","Loss_gf_Prop","Loss_gf_Liab","Loss_gf_BI"
"Lyndrassia","Flood Risk Reduction",8.132,0.133,11213,1988,0.05516,3,32.76,"Low","Not Rated",0.1062,30.4,9.7,23.5482003100839
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",5.404,0.033,50000,1930,0.09653,3,17.47,"Low","Not Rated",0.0914,17.5,485.3,15.2120134515577
"Flumevale","Water Supply",8.246,0.679,53000,1979,0.05122,1,0.16,"High","Satisfactory",0.0939,22.8,414.5,16.8
"Lyndrassia","Recreation",12.182,0.147,65000,1969,0.0591,5,12.47,"Significant","Satisfactory",0.0834,34.9,435.3,8.7
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",5.021,0.067,50000,1960,0.09653,3,20.08,"Low","Not Rated",0.0999,12.6,329,15.7978709223938
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",5.04,0.067,50000,1946,0.09653,3,31.81,"Low","Not Rated",0.0909,14.4,214.9,15.4015881642013
"Lyndrassia","Debris Control",8.444,0.207,30000,1960,0.04728,3,31.75,"Low","Not Rated",0.0822,5.1,148.3,16.6722821961002
"Flumevale","Recreation",3.124,0.283,16374,1930,0.06895,6,5.05,"Low","Not Rated",0.0916,34.5,129.7,8.2
"Navaldia","Other",9.422,0.09,15343,1986,0.00788,3,11.67,"Significant","Not Rated",0.1713,33.2,233.8,16.161124519674
"Lyndrassia","Flood Risk Reduction",8.061,0.183,14766,1995,0.08077,3,33.63,"Low","Not Rated",0.0714,6.4,20.5,19.6838761203887
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.126,0.075,50000,1967,0.09653,3,75.43,"Low","Not Rated",0.1193,11.8,84.7,17.1934583505272
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",4.339,0.05,70000,1960,0.09653,3,59.24,"Low","Not Rated",0.0871,23.4,173.7,12.4989926385324
"Lyndrassia","Flood Risk Reduction",10.216,0.172,19335,2008,0.08274,3,33.63,"Low","Not Rated",0.0784,22.8,11.1,22.6556522017962
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",13.075,0.08,50000,1973,0.09653,3,91.89,"Low","Not Rated",0.09,14.3,121.9,14.82266812759
"Lyndrassia","Flood Risk Reduction",10.879,0.15,21335,1998,0.04925,5,82.69,"Low","Not Rated",0.0707,43.8,10.6,28.2634594449613
"Flumevale","Irrigation",3.429,0.107,14982,1888,0.06107,6,8.38,"Low","Not Rated",0.0626,35.6,147,15.4
"Lyndrassia","Flood Risk Reduction",9.732,0.16,22978,2006,0.02561,3,32.76,"Low","Not Rated",0.1045,29.8,9.6,20.5189289879459
"Lyndrassia","Grade Stabilization",8.777,0.12,7173,1994,0.04334,3,21.66,"Low","Not Rated",0.0885,39,17.8,24.1371724180784
"Navaldia","Fire Protection, Stock, Or Small Fish Pond",5.376,0.11,14311,1950,0.08077,3,20.74,"Low","Not Rated",0.0726,41.9,12.1,12.896589007037
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",10.058,0.025,50000,1935,0.09653,3,41.38,"Low","Not Rated",0.1331,13.5,168.4,13.2352952259962
"Lyndrassia","Recreation",8.731,0.207,75000,1964,0.05319,3,32.65,"Low","Not Rated",0.0644,25.2,150,3.1
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",9.008,0.207,21538,1960,0.05319,3,3.09,"Low","Not Rated",0.0952,21.3,566.8,21.6279953369383
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",5.404,0.033,50000,1955,0.09653,3,54.79,"Low","Not Rated",0.0673,23.2,95.1,12.9241696536935
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",4.808,0.289,11886.95,1958,0.15563,5,79.66,"Low","Unsatisfactory",0.0845,34.7,147.2,34.4641346820979
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.783,0.067,50000,1959,0.09653,3,48.25,"Low","Not Rated",0.1039,6.4,52.2,15.2112161915046
"Lyndrassia","Irrigation",8.838,0.207,34100,1964,0.04925,3,10.02,"Low","Not Rated",0.0853,41.8,466.1,4.8
"Lyndrassia","Recreation",10.938,0.207,42500,1967,0.04137,3,7.77,"High","Not Rated",0.1235,25.4,313.9,3.6
"Lyndrassia","Irrigation",4.68,0.133,5000,1950,0.09653,3,4.84,"Low","Not Rated",0.12,6.1,251.7,42.6
"Lyndrassia","Other",7.902,0.207,71700,1952,0.0591,3,3.28,"High","Not Rated",0.1282,28.4,315.7,25.465878431302
"Navaldia","Flood Risk Reduction",9.04,0,75000,1964,0.10835,3,13.9,"Low","Not Rated",0.1091,22.7,9,18.445056057553
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",7.744,0.1,50000,1959,0.09653,3,47.74,"Low","Not Rated",0.1246,21.5,61.2,15.0615870947403
"Flumevale","Water Supply",10.147,0.2,40000,1970,0.04925,1,0.84,"High","Satisfactory",0.1044,13.5,642.9,31.8
"Navaldia","Flood Risk Reduction",9.254,1.133,69400,2007,0.06107,3,30.64,"Low","Not Rated",0.0861,40.2,23.4,30.4206096827374
"Navaldia","Recreation",5.761,0.17,10493,1957,0.08668,3,8.32,"Low","Not Rated",0.1042,28.7,11.5,3.1
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",8.586,0.207,80000,1959,0.05122,3,9.28,"High","Not Rated",0.1097,7.1,271.1,26.6611095498179
"Flumevale","Water Supply",6.513,0.07,2332,1954,0.13987,1,5.84,"Significant","Satisfactory",0.1309,46.5,344.6,41.9
"Navaldia","Flood Risk Reduction",7.454,0.21,50675,1991,0.00788,1,1.67,"High","Fair",0.0976,26.8,786.3,21.2295665305608
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.349,0.207,18136,1968,0.06304,3,3.28,"Low","Not Rated",0.0661,17.3,911,23.849739828196
"Lyndrassia","Flood Risk Reduction",10.765,0.107,11521,1989,0.07289,3,32.76,"Low","Not Rated",0.1107,24.9,21.1,20.9087181689672
"Navaldia","Recreation",3.478,0.333,23640,1961,0.10835,3,4.76,"Low","Not Rated",0.097,41.6,777.1,4.3
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",17.155,0.21,93000.0000000001,2001,0.03743,5,3.97,"Significant","Satisfactory",0.0744,17.9,912.4,11.7620707937773
"Lyndrassia","Irrigation",5.245,0.207,23344,1954,0.08274,3,8.27,"Low","Not Rated",0.1253,13,183.5,11.9
"Lyndrassia","Flood Risk Reduction",9.031,0.207,8551,1970,0.04925,3,3.17,"Low","Not Rated",0.0929,10.3,625.2,22.5887926330217
"Lyndrassia","Fish and Wildlife Pond",4.75,0.305,9850,1974,0.05122,3,13.32,"Significant","Not Rated",0.1466,17.6,425.9,21.5148973309243
"Navaldia","Recreation",3.444,0.257,14872,1964,0.10835,3,8.32,"Low","Not Rated",0.1123,38.3,16.7,3.9
"Flumevale","Fish and Wildlife Pond",7.296,0.07,9402,1889,0.0591,6,61.95,"Low","Fair",0.0593,25,234.2,25.7202678318754
"Lyndrassia","Recreation",8.955,0.207,75000,1964,0.04728,3,21.8,"Low","Not Rated",0.1092,14.5,181.6,8
"Navaldia","Fire Protection, Stock, Or Small Fish Pond",4.227,0.15,15300,1958,0.07683,3,32.2,"Low","Not Rated",0.0952,11.9,13.2,19.2446550411344
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",8.99,0.207,15168,1964,0.05122,3,3.28,"Low","Not Rated",0.067,19.1,934.5,16.1338850715419
"Lyndrassia","Recreation",4.989,0.118,5000,1964,0.12411,5,32.63,"Low","Not Rated",0.0593,45.1,12,12.4094648694487
"Lyndrassia","Flood Risk Reduction",5.25,0.207,6562.00000000001,1970,0.08274,3,27.96,"Low","Not Rated",0.1135,19.5,377.6,22.5743840690826
"Lyndrassia","Recreation",8.542,0.207,75000,1965,0.05122,3,13.32,"Low","Not Rated",0.0986,47.2,107,2.9
"Navaldia","Recreation",5.168,0.207,43626,1964,0.01576,5,9.94,"Low","Not Rated",0.0364,25.6,18,5.8
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",4.054,0.025,50000,1965,0.09653,3,20.16,"Low","Not Rated",0.062,8.2,452,16.3295481950833
"Lyndrassia","Irrigation",6.853,0.15,2400,1937,0.09653,3,165.52,"Low","Not Rated",0.0881,21.8,120.7,5
"Lyndrassia","Irrigation",7.329,0.067,1390,1957,0.09653,3,144.42,"Low","Not Rated",0.0831,13.6,51.8,26.8
"Lyndrassia","Irrigation",8.805,0.207,39130,1973,0.05122,3,19.05,"Low","Not Rated",0.0962,35.2,106,17.1
"Lyndrassia","Recreation",8.59,0.207,75000,1965,0.04925,3,36.88,"Low","Not Rated",0.0592,47,217.9,3.1
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",5.96,0.108,50000,1940,0.09653,3,91.41,"Low","Not Rated",0.0859,5.7,185.6,14.7387513444419
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",8.916,0.067,50000,1955,0.09653,3,50.12,"Low","Not Rated",0.1049,6.6,68.1,15.8558271880321
"Lyndrassia","Flood Risk Reduction",11.634,0.15,14990,2001,0.01773,5,115.98,"Low","Not Rated",0.0895,35.7,5.8,17.8293463110262
"Lyndrassia","Irrigation",10.563,0.207,40000,1977,0.04137,3,1.67,"Low","Not Rated",0.0845,16.9,786.4,22.5
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",7.194,0.108,50000,1960,0.09653,3,1.54,"Low","Not Rated",0.0947,8.3,790.7,15.965067741578
"Lyndrassia","Recreation",15.903,0.2,150000,1956,0.03152,5,1.59,"Low","Satisfactory",0.031,6.5,198.9,6.7
"Lyndrassia","Flood Risk Reduction",11.271,0.177,29000,2006,0.02167,3,33.27,"Low","Not Rated",0.0882,5.7,10.5,17.0583939570297
"Navaldia","Water Supply",10.829,0.153,14880,1964,0.04137,3,8,"Low","Not Rated",0.1202,38,393,21.3
"Navaldia","Recreation",6.808,0.17,10462,1966,0,3,14.35,"Low","Not Rated",0.0948,10.5,14.8,11.2490482373556
"Lyndrassia","Flood Risk Reduction",3.866,0.067,79150,1966,0.09653,3,62.85,"Low","Not Rated",0.1195,13.7,230.2,21.7044762289255
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",3.122,0.05,50000,1955,0.09653,3,61.43,"Low","Not Rated",0.0765,16.3,139.5,11.7819071127771
"Navaldia","Recreation",11.359,0.187,43626,1964,0.06304,2,20.24,"Significant","Poor",0.1506,23.2,330.6,8
"Lyndrassia","Irrigation",5.032,0.4,1390,1920,0.09653,3,15.03,"Low","Not Rated",0.0635,5.3,533.1,18.3
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",10.955,0.033,50000,1963,0.09653,3,15.11,"Low","Not Rated",0.0744,19.7,455.2,12.7896560434615
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",5.095,0.05,10400,1954,0.09653,3,88.53,"Low","Not Rated",0.0563,5,123.8,16.742934086513
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",5.253,0.1,50000,1933,0.09653,3,6.66,"Low","Not Rated",0.0706,19.3,183.1,12.166680364493
"Navaldia","Water Supply",11.501,0.137,11000,1964,0.02758,3,18.46,"Low","Not Rated",0.127,43.1,11,54.8
"Flumevale","Irrigation",5.548,0.11,12246,1932,0.04728,3,21.46,"Low","Fair",0.0753,23.4,420.8,28
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",9.978,0.207,80000,1970,0.04137,3,23.75,"High","Not Rated",0.1104,27.8,285.4,26.6325470498179
"Navaldia","Recreation",5.462,0.253,9000,1962,0.08274,3,14.83,"Low","Not Rated",0.0902,25.2,11.5,8.7
"Lyndrassia","Recreation",6.472,0.207,1e+05,1964,0.06501,3,16.54,"Low","Not Rated",0.0779,21.5,562.7,6.5
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",11.203,0.092,70000,1956,0.09653,3,38.34,"Low","Not Rated",0.115,21.7,209.8,17.0517657615663
"Lyndrassia","Grade Stabilization",8.702,0.13,9636.00000000001,1977,0.0591,3,21.66,"Low","Not Rated",0.0881,43.1,4.9,25.2146624966454
"Lyndrassia","Flood Risk Reduction",5.088,0.207,6562.00000000001,1958,0.08077,3,6.37,"Low","Not Rated",0.0924,19.2,336.3,26.1182895426517
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",4.03,0.467,50000,1948,0.09653,3,18.83,"Low","Not Rated",0.1096,16.5,326.3,15.7159049353725
"Navaldia","Fire Protection, Stock, Or Small Fish Pond",4.814,0.168,21486,1966,0.0591,3,52.08,"Low","Not Rated",0.0799,44.6,18.3,28.0482371259311
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",9.946,0.05,50000,1950,0.09653,3,35.86,"Low","Not Rated",0.0806,23.1,205.4,11.0047776807774
"Flumevale","Fire Protection, Stock, Or Small Fish Pond",8.724,0.15,14140,1964,0.68359,5,25.78,"Low","Not Rated",0.0687,375.9,891,27.6696452871301
"Lyndrassia","Irrigation",6.813,0.092,1390,1960,0.09653,3,21.51,"Low","Not Rated",0.067,13.4,252.7,9.6
"Lyndrassia","Fish and Wildlife Pond",9.108,0.167,20000,1969,0.01773,3,35.4,"Low","Not Rated",0.091,16.7,18.9,19.928169059256
"Lyndrassia","Debris Control",8.942,0.207,13417,1977,0.04925,3,23.67,"Low","Not Rated",0.088,45.9,6.2,26.189531517167
"Navaldia","Tailings",2.519,0.007,65000,1925,0,3,15.96,"Low","Not Rated",0.0684,10.9,5.9,31.3552534801364
"Navaldia","Fire Protection, Stock, Or Small Fish Pond",5.427,0.349,85193.9999999999,1976,0.04925,5,4.84,"High","Not Rated",0.0956,29.7,202.5,20.7752454543629
"Lyndrassia","Debris Control",8.492,0.2,37686.76,1941,0.12805,4,3.35,"Low","Fair",0.0478,16.9,480.5,10.2387988471537
"Lyndrassia","Recreation",10.844,0.207,75000,1972,0.04137,3,9.41,"Low","Not Rated",0.0842,16.7,176,8.4
"Lyndrassia","Recreation",8.026,0.217,21751,1973,0.02561,3,38.87,"Low","Not Rated",0.1165,22.2,10.2,8.1
"Navaldia","Recreation",4.43,0.25,8822,1961,0.09062,3,14.35,"Low","Not Rated",0.0715,47.6,17.1,18.1226615660676
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",5.848,0.108,50000,1937,0.09653,3,29.07,"Low","Not Rated",0.1039,5.8,232.2,15.2112161915046
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.677,0.06,50000,1955,0.09653,3,9.7,"Low","Not Rated",0.1268,15.8,573.9,14.6209673511219
"Navaldia","Recreation",6.188,0.167,28046,1964,0.04334,3,9.94,"Low","Not Rated",0.0735,8.3,12.6,9.4
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.721,0.067,50000,1965,0.09653,3,22.94,"Low","Not Rated",0.0771,7.7,159.9,11.8391798400498
"Navaldia","Recreation",2.527,0.057,44700,1924,0.17336,5,8.08,"Low","Poor",0.0863,23.6,6.2,3.5
"Flumevale","Irrigation",6.442,0.109,12246,1904,0.02364,3,6.73,"Low","Fair",0.072,26.7,185.5,28.6
"Lyndrassia","Fish and Wildlife Pond",8.103,0.128,10045,1977,0.00788,3,34.46,"Low","Not Rated",0.0843,15.9,5.9,25.8308765433019
"Flumevale","Irrigation",3.281,0.1,12000,1903,0.08471,3,35.45,"Low","Not Rated",0.0563,18.4,165.7,23.9
"Lyndrassia","Grade Stabilization",10.805,0.133,16091,1974,0.04137,3,21.66,"Low","Not Rated",0.0734,8.5,20,32.6893945722942
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",8.431,0.096,50000,1954,0.09653,3,86.58,"Low","Not Rated",0.0639,10.6,112.5,14.0377749996483
"Navaldia","Flood Risk Reduction",6.726,0.292,22025,1976,0.03546,3,9.57,"Low","Not Rated",0.1327,46.3,243.1,35.7648223349231
"Navaldia","Recreation",3.434,0.182,18000,1911,0.17336,2,13.15,"Significant","Poor",0.1417,45.3,393.7,7.3
"Navaldia","Irrigation",4.919,0.082,64000,1900,0.12214,3,10.97,"Low","Not Rated",0.0752,19.1,9,46.8
"Navaldia","Irrigation",4.449,0.527,29633,1973,0,3,37.26,"Low","Not Rated",0.0804,29.3,7,25.8
"Lyndrassia","Irrigation",5.138,0.207,22361,1957,0.08274,3,1.69,"Low","Not Rated",0.0895,43.8,525.6,33
"Lyndrassia","Recreation",8.979,0.207,75000,1955,0.04925,3,17.22,"Low","Not Rated",0.0821,5,342,5.2
"Navaldia","Recreation",9.666,0.167,35000,2002,0.04334,5,5.37,"Significant","Not Rated",0.1256,39.6,295.6,9.04204681594829
"Navaldia","Flood Risk Reduction",5.735,0.572,34945,1981,0,3,32.18,"Low","Not Rated",0.0722,45.5,18.4,9.80959049371675
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.559,0.075,50000,1961,0.09653,3,33,"Low","Not Rated",0.1003,6.5,58.5,15.7399625890604
"Lyndrassia","Recreation",5.143,0.207,75000,1960,0.0788,3,8.01,"Low","Not Rated",0.1065,11.7,463,4.9
"Navaldia","Recreation",4.244,0.233,17000,2006,0.0985,3,24.6,"Low","Not Rated",0.0641,46,186.4,5.1
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",7.302,0.075,50000,1940,0.09653,3,37.43,"Low","Not Rated",0.1199,15,192.5,16.7303154933844
"Lyndrassia","Debris Control",7.657,0.207,8766,1972,0.05516,3,4.79,"Low","Not Rated",0.0908,5.4,844.7,23.8120810163881
"Lyndrassia","Other",10.791,0.207,71700,1955,0.0394,3,5.02,"High","Not Rated",0.1206,15.8,202.8,27.5294300956012
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.878,0.333,50000,1930,0.09653,3,44.3,"Low","Not Rated",0.0683,13.4,65.9,12.701038282635
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",9.156,0.207,60000,1960,0.04728,3,11.65,"Low","Not Rated",0.0757,34.5,313,11.6396403281771
"Lyndrassia","Fish and Wildlife Pond",8.539,0.177,10411,1973,0.01379,3,24.71,"Low","Not Rated",0.0808,36.2,6.8,24.8939995783579
"Lyndrassia","Fish and Wildlife Pond",10.593,0.117,21138,1981,0.06698,3,24.71,"Low","Not Rated",0.0646,47.5,10.9,24.8492486368608
"Lyndrassia","Recreation",7.578,0.187,22000,1901,0.08274,1,9.46,"High","Not Rated",0.0862,17.1,300.8,3.1
"Lyndrassia","Recreation",10.073,0.207,40000,1960,0.04137,3,10.12,"High","Not Rated",0.1293,27.9,466.9,4.8
"Navaldia","Irrigation",9.04,0,26671,1962,0,3,37.26,"Low","Not Rated",0.0709,27.7,12.4,9
"Lyndrassia","Other",8.834,0.207,15638,1964,0.04925,3,23.09,"Low","Not Rated",0.0598,22.2,179.4,22.7402679252021
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.995,0.117,50000,1930,0.09653,3,43.76,"Low","Not Rated",0.082,8,79.5,10.8598882577005
"Navaldia","Recreation",5.328,0.107,44600,1964,0.0197,1,1.64,"High","Fair",0.1038,46.7,559.5,5.9
"Navaldia","Recreation",2.143,0.067,27100,1910,0.19503,1,1.64,"High","Fair",0.0857,41.4,568.9,5.9
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",7.119,0.083,50000,1930,0.09653,3,17.96,"Low","Not Rated",0.1061,14.3,386.3,17.0239526832911
"Flumevale","Irrigation",5.863,0.067,4139,1914,0.08274,6,4.78,"Low","Satisfactory",0.0392,30.7,147.8,36.7
"Lyndrassia","Recreation",8.915,0.207,45000,1955,0.05122,3,3.28,"Low","Not Rated",0.0864,14.5,951.7,6.2
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",5.653,0.096,50000,1944,0.09653,3,14.56,"Low","Not Rated",0.0671,15.1,294.8,12.9241696536935
"Navaldia","Fire Protection, Stock, Or Small Fish Pond",9.04,0,13903,1984,0.06895,3,52.08,"Low","Not Rated",0.0845,34.6,15.2,13.8409863448151
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",4.532,0.125,50000,1966,0.09653,3,48.62,"Low","Not Rated",0.0666,14.6,115.9,13.2739363203601
"Navaldia","Fire Protection, Stock, Or Small Fish Pond",7.408,0.086,13903,1980,0,3,20.74,"Low","Not Rated",0.0717,47.3,17.9,10.6341901849883
"Lyndrassia","Recreation",9.055,0.207,42500,1950,0.05122,3,31.99,"High","Not Rated",0.1386,31,137.6,6
"Lyndrassia","Irrigation",7.441,0.067,5000,1954,0.09653,3,75.17,"Low","Not Rated",0.0931,11.8,110.5,11.8
"Navaldia","Recreation",11.392,0.12,51200,1972,0.02364,2,25.25,"High","Unsatisfactory",0.1467,37.9,196.6,8.6
"Lyndrassia","Irrigation",10.511,0.207,40000,1971,0.04137,3,3.19,"High","Not Rated",0.1099,12.1,890.1,5.2
"Navaldia","Fire Protection, Stock, Or Small Fish Pond",11.706,0.067,11744,1981,0,3,20.74,"Low","Not Rated",0.0742,21.3,10.3,10.5683558510785
"Navaldia","Recreation",10.26,0.187,18000,1953,0.03546,2,28.85,"Significant","Fair",0.1258,19.7,221.6,9.4
"Navaldia","Recreation",10.032,0.105,11124,1977,0,3,9.19,"Low","Not Rated",0.0966,23.3,11.5,6
"Lyndrassia","Flood Risk Reduction",9.095,0.163,17212,2007,0.05122,3,33.27,"Low","Not Rated",0.0786,38.3,6.4,22.0444963728043
"Navaldia","Recreation",3.827,0.35,11039,1974,0.06501,3,12.98,"Low","Not Rated",0.0915,25.6,8.3,4.1
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",8.741,0.198,50000,1955,0.09653,3,75.04,"Low","Not Rated",0.0951,19.9,83.9,15.7930854720745
"Lyndrassia","Fish and Wildlife Pond",8.465,0.133,10200,1973,0.13987,3,41.66,"Low","Not Rated",0.105,29.5,18,21.7570846176141
"Navaldia","Water Supply",5.788,0.506,17891,1965,0.08471,3,26.45,"Low","Not Rated",0.0649,19.5,12.5,28.4
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",8.807,0.207,18136,1963,0.05122,3,3.22,"Low","Not Rated",0.089,39.5,766.8,26.3014110828502
"Lyndrassia","Recreation",10.386,0.207,43356,1964,0.04334,3,1.69,"Low","Not Rated",0.0968,15,704.1,3
"Navaldia","Recreation",4.758,0.357,113000,1964,0.04531,3,14.35,"Low","Not Rated",0.0633,14.4,8.4,28.4874952168162
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",8.595,0.083,50000,1947,0.09653,3,81.32,"Low","Not Rated",0.107,14.4,155.1,17.1081258915643
"Lyndrassia","Recreation",10.895,0.207,75000,1968,0.04137,3,24.1,"Low","Not Rated",0.0994,16,378.9,4
"Lyndrassia","Other",8.484,0.207,40000,1964,0.05122,3,4.65,"High","Not Rated",0.1346,5.2,638.9,11.7898418707727
"Navaldia","Recreation",3.51,0.348,17837,1942,0.08077,3,8.32,"Low","Not Rated",0.12,32.6,16.2,5.1
"Navaldia","Water Supply",5.286,0.317,20883,1966,0.08077,3,26.45,"Low","Not Rated",0.0543,26.7,18.9,41.8
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.908,0.1,50000,1955,0.09653,3,90.68,"Low","Not Rated",0.115,13.3,58.5,18.2813460847896
"Navaldia","Recreation",8.008,0.164,13000,1978,0,3,14.35,"Low","Not Rated",0.0596,46.3,18.7,14.9661958309063
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.09,0.16,45000,1943,0.09653,3,19.68,"Significant","Not Rated",0.1841,282.7,199.4,10.095298549126
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",10.532,0.133,50000,1946,0.09653,3,46.47,"Low","Not Rated",0.1003,21.2,156.8,15.7399625890604
"Navaldia","Recreation",7.23,0.223,15055,1961,0,3,10.86,"Low","Not Rated",0.0885,10.8,187.9,3.7
"Lyndrassia","Grade Stabilization",10.103,0.225,16303,1965,0.02561,3,21.66,"Low","Not Rated",0.1166,29.2,20.8,18.7735915716252
"Navaldia","Recreation",3.543,0.238,7800,1961,0.20094,3,8.32,"Low","Not Rated",0.107,42,13.9,7.4
"Flumevale","Water Supply",17.754,0.2,28000,1961,0.04925,0.5,3.88,"Low","Satisfactory",0.0692,29.8,17,61.1
"Navaldia","Fire Protection, Stock, Or Small Fish Pond",6.422,0.475,15103,1962,0.04728,3,20.74,"Low","Not Rated",0.062,35.6,19.9,14.4456879917134
"Navaldia","Recreation",3.965,0.55,26000,1964,0.10835,3,14.35,"Low","Not Rated",0.0847,20.7,21.9,9.71488582945575
"Navaldia","Recreation",7.245,0.202,23016,2017,0.02364,5,4.09,"High","Not Rated",0.0807,8.7,723.9,11.0688290537067
"Lyndrassia","Flood Risk Reduction",7.34,0.213,16616,2010,0.04531,3,32.76,"Low","Not Rated",0.107,24.4,7.6,20.9075930228871
"Lyndrassia","Flood Risk Reduction",8.776,0.207,19083,1977,0.04925,3,3.17,"Low","Not Rated",0.0757,21.7,829.1,24.5365595801441
"Lyndrassia","Recreation",7.092,0.207,28000,1964,0.08274,3,3.19,"High","Not Rated",0.1448,42,626.5,19.6824215171579
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",12.765,0.116,13992,2002,0.03349,3,31.07,"Low","Not Rated",0.0604,15.2,16.4,21.4609254432215
"Lyndrassia","Flood Risk Reduction",11.938,0.12,13419,2002,0.05713,5,115.98,"Low","Not Rated",0.0898,46.3,22.3,25.6773796538129
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.814,0.042,50000,1965,0.09653,3,29.83,"Low","Not Rated",0.0671,23.1,190.3,12.9241696536935
"Navaldia","Recreation",12.456,0.297,10395,1977,0,3,12.98,"Low","Not Rated",0.1078,15.4,9.3,6.7
"Lyndrassia","Flood Risk Reduction",9.615,0.17,19310,1989,0.06895,3,32.76,"Low","Not Rated",0.1115,19.7,14.6,22.6333489165431
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",8.51,0.042,50000,1948,0.09653,3,87.27,"Low","Not Rated",0.0696,21.9,191,12.6463259552698
"Flumevale","Irrigation",8.366,0.108,5777,1950,0.03546,6,10.78,"Low","Fair",0.0499,46.3,266.1,14.8
"Navaldia","Water Supply",9.04,0,23860,1960,0.09259,3,31.13,"Low","Not Rated",0.1148,23.8,16.9,12.9
"Lyndrassia","Recreation",5.04,0.207,75000,1975,0.08077,3,4.96,"Low","Not Rated",0.1232,18.5,483.9,3
"Lyndrassia","Recreation",9.067,0.207,75000,1977,0.04925,3,10.09,"Low","Not Rated",0.0918,27.4,328.3,7.7
"Navaldia","Recreation",9.075,0.167,13058,1975,0.04334,3,14.35,"Low","Not Rated",0.0521,34.3,20.5,14.206716040515
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",6.739,0.067,50000,1932,0.09653,3,20.02,"Low","Not Rated",0.0998,10,164.3,15.4995529736758
"Lyndrassia","Recreation",5.295,0.207,42500,1940,0.08274,3,8.32,"High","Not Rated",0.0809,36.4,360.7,7.1
"Lyndrassia","Recreation",9.7,0.207,42500,1965,0.04334,3,1.58,"High","Not Rated",0.139,7,771.5,6
"Lyndrassia","Irrigation",6.861,0.207,22361,1936,0.06107,3,6.69,"Low","Not Rated",0.0939,6.9,266,5.7
"Lyndrassia","Debris Control",9.087,0.207,15638,1975,0.05122,3,16.59,"Low","Not Rated",0.0907,21.4,372.9,27.3420309524367
"Lyndrassia","Flood Risk Reduction",5.047,0.207,51000,1968,0.09259,3,12.9,"High","Not Rated",0.1082,19.9,100.6,7.03172964864179
"Lyndrassia","Irrigation",9.099,0.033,1390,1956,0.09653,3,4.78,"Low","Not Rated",0.0818,10.8,779.8,10.6
